id,agent,start,end,direction,status,activity,comment
,ogolovko,2025-10-04T15:00:00,2025-10-05T00:00:00,calls,work,,
,ogolovko,2025-10-05T10:00:00,2025-10-05T19:00:00,calls,work,,
,ogolovko,2025-10-07T07:00:00,2025-10-07T16:00:00,calls,work,,
,ogolovko,2025-10-08T07:00:00,2025-10-08T16:00:00,calls,work,,
,ogolovko,2025-10-09T07:00:00,2025-10-09T16:00:00,calls,work,,
,ogolovko,2025-10-11T07:00:00,2025-10-11T16:00:00,calls,work,,
,ogolovko,2025-10-12T07:00:00,2025-10-12T16:00:00,calls,work,,
,ogolovko,2025-10-13T07:00:00,2025-10-13T16:00:00,calls,work,,
,ogolovko,2025-10-14T07:00:00,2025-10-14T16:00:00,calls,work,,
,ogolovko,2025-10-16T09:00:00,2025-10-16T18:00:00,calls,work,,
,ogolovko,2025-10-17T15:00:00,2025-10-18T00:00:00,calls,work,,
,ogolovko,2025-10-18T22:00:00,2025-10-19T07:00:00,calls,work,,
,ogolovko,2025-10-20T11:00:00,2025-10-20T20:00:00,calls,work,,
,ogolovko,2025-10-21T07:00:00,2025-10-21T16:00:00,calls,work,,
,ogolovko,2025-10-24T13:00:00,2025-10-24T22:00:00,calls,work,,
,ogolovko,2025-10-25T15:00:00,2025-10-26T00:00:00,calls,work,,
,ogolovko,2025-10-26T10:00:00,2025-10-26T19:00:00,calls,work,,
,ogolovko,2025-10-27T09:00:00,2025-10-27T18:00:00,calls,work,,
,ogolovko,2025-10-28T07:00:00,2025-10-28T16:00:00,calls,work,,
,ogolovko,2025-10-29T10:00:00,2025-10-29T19:00:00,calls,work,,
,ogolovko,2025-10-30T22:00:00,2025-10-31T07:00:00,calls,work,,
,vsilchenko,2025-10-01T00:00:00,2025-10-02T00:00:00,calls,vacation,,
,vsilchenko,2025-10-03T13:00:00,2025-10-03T22:00:00,calls,work,,
,vsilchenko,2025-10-04T00:00:00,2025-10-05T00:00:00,calls,vacation,,
,vsilchenko,2025-10-05T00:00:00,2025-10-06T00:00:00,calls,vacation,,
,vsilchenko,2025-10-06T07:00:00,2025-10-06T16:00:00,calls,work,,
,vsilchenko,2025-10-08T12:00:00,2025-10-08T21:00:00,calls,work,,
,vsilchenko,2025-10-09T14:00:00,2025-10-09T23:00:00,calls,work,,
,vsilchenko,2025-10-10T15:00:00,2025-10-11T00:00:00,calls,work,,
,vsilchenko,2025-10-11T22:00:00,2025-10-12T07:00:00,calls,work,,
,vsilchenko,2025-10-13T09:00:00,2025-10-13T18:00:00,calls,work,,
,vsilchenko,2025-10-15T07:00:00,2025-10-15T16:00:00,calls,work,,
,vsilchenko,2025-10-16T14:00:00,2025-10-16T23:00:00,calls,work,,
